F,0.472,0.658,0.913,1.262,1.796,2.748,5.186,octile,pwv,Tsys
91.500,64.834,65.248,65.861,66.645,67.838,70.017,75.524,7,5.186,75.524
91.600,64.826,65.241,65.855,66.640,67.835,70.019,75.536,7,5.186,75.536
91.700,64.819,65.234,65.849,66.637,67.834,70.021,75.547,7,5.186,75.547
91.800,64.812,65.228,65.844,66.632,67.832,70.023,75.559,7,5.186,75.559
91.900,64.805,65.222,65.840,66.628,67.831,70.025,75.571,7,5.186,75.571
92.000,64.798,65.216,65.835,66.626,67.829,70.028,75.583,7,5.186,75.583
92.100,64.792,65.210,65.830,66.622,67.829,70.031,75.596,7,5.186,75.596
92.200,64.786,65.206,65.827,66.620,67.828,70.035,75.610,7,5.186,75.610
92.300,64.781,65.201,65.823,66.618,67.828,70.039,75.623,7,5.186,75.623
92.400,64.776,65.196,65.820,66.617,67.828,70.043,75.636,7,5.186,75.636
92.500,64.771,65.192,65.816,66.614,67.829,70.047,75.651,7,5.186,75.651
92.600,64.766,65.188,65.814,66.613,67.831,70.052,75.665,7,5.186,75.665
92.700,64.762,65.186,65.812,66.612,67.832,70.058,75.766,7,5.186,75.766
92.800,64.758,65.182,65.810,66.612,67.834,70.064,75.782,7,5.186,75.782
92.900,64.756,65.181,65.809,66.613,67.836,70.071,75.798,7,5.186,75.798
93.000,64.755,65.180,65.809,66.614,67.841,70.078,75.817,7,5.186,75.817
93.100,64.755,65.181,65.812,66.618,67.846,70.087,75.835,7,5.186,75.835
93.200,64.756,65.183,65.815,66.622,67.853,70.098,75.856,7,5.186,75.856
93.300,64.761,65.189,65.821,66.631,67.864,70.112,75.881,7,5.186,75.881
93.400,64.770,65.199,65.833,66.644,67.878,70.130,75.909,7,5.186,75.909
93.500,64.788,65.216,65.852,66.664,67.900,70.156,75.944,7,5.186,75.944
93.600,64.824,65.254,65.889,66.704,67.942,70.203,75.999,7,5.186,75.999
93.700,64.913,65.418,65.980,66.794,68.113,70.378,76.191,7,5.186,76.191
93.800,65.408,65.840,66.477,67.295,68.538,70.809,76.635,7,5.186,76.635
93.900,65.702,66.134,66.697,67.592,68.838,71.113,76.956,7,5.186,76.956
94.000,65.491,65.923,66.563,67.382,68.630,70.908,76.842,7,5.186,76.842
94.100,64.997,65.431,65.996,66.817,68.145,70.427,76.278,7,5.186,76.278
94.200,64.818,65.253,65.895,66.717,67.970,70.254,76.197,7,5.186,76.197
94.300,64.772,65.208,65.852,66.675,67.931,70.219,76.173,7,5.186,76.173
94.400,64.749,65.186,65.830,66.657,67.913,70.205,76.169,7,5.186,76.169
94.500,64.735,65.173,65.819,66.646,67.905,70.202,76.175,7,5.186,76.175
94.600,64.725,65.163,65.810,66.640,67.901,70.202,76.186,7,5.186,76.186
94.700,64.720,65.159,65.807,66.638,67.901,70.206,76.201,7,5.186,76.201
94.800,64.716,65.155,65.729,66.637,67.904,70.212,76.217,7,5.186,76.217
94.900,64.713,65.153,65.728,66.637,67.906,70.218,76.233,7,5.186,76.233
95.000,64.711,65.153,65.729,66.639,67.911,70.227,76.253,7,5.186,76.253
95.100,64.711,65.154,65.732,66.644,67.917,70.237,76.273,7,5.186,76.273
95.200,64.714,65.156,65.735,66.648,67.924,70.249,76.295,7,5.186,76.295
95.300,64.717,65.161,65.816,66.657,67.935,70.263,76.319,7,5.186,76.319
95.400,64.724,65.169,65.826,66.667,67.948,70.280,76.347,7,5.186,76.347
95.500,64.736,65.181,65.839,66.681,67.964,70.302,76.379,7,5.186,76.379
95.600,64.756,65.203,65.861,66.705,67.990,70.412,76.419,7,5.186,76.419
95.700,64.804,65.251,65.910,66.757,68.121,70.469,76.574,7,5.186,76.574
95.800,65.253,65.775,66.360,67.206,68.574,70.926,77.045,7,5.186,77.045
95.900,64.865,65.314,65.975,66.823,68.192,70.547,76.674,7,5.186,76.674
96.000,64.915,65.440,66.028,66.954,68.249,70.608,76.744,7,5.186,76.744
96.100,65.188,65.639,66.303,67.153,68.527,70.893,77.045,7,5.186,77.045
96.200,66.581,67.031,67.696,68.549,69.928,72.302,78.486,7,5.186,78.486
96.300,65.591,66.116,66.707,67.639,68.940,71.315,77.495,7,5.186,77.495
96.400,65.071,65.525,66.192,67.049,68.353,70.810,76.996,7,5.186,76.996
96.500,64.866,65.321,65.989,66.848,68.231,70.613,76.803,7,5.186,76.803
96.600,64.810,65.266,65.935,66.796,68.182,70.568,76.770,7,5.186,76.770
96.700,64.782,65.239,65.909,66.771,68.160,70.550,76.763,7,5.186,76.763
